,date,content,username
0,2022-07-29 23:46:44+00:00,Long day but incredibly satisfying!! Helping out Hudl customers is so gratifying!! Love it!! #DayByDay #FindAWay #NowWhatSoWhat #GBR #Huskers #RTB #QBS #PROTECTOURCHILDREN #ABOLISHASSAULTRIFLES #RESPECTWOMEN https://t.co/dWAbyR3nf7,cernball
1,2022-07-29 21:51:52+00:00,THIS MuddaCluckin Podcast Wednesday 8/3 YOUTUBE @theholisticbeautycoach #iamDeanAustin #podcast  #respectwomen https://t.co/hscEQ3oc0K,iamdeanaustin
2,2022-07-29 17:30:42+00:00,"Lower Your Gaze and Respect 🙏
#LowerYourGaze #RespectWomen #Maldives",alatheeph
3,2022-07-29 15:00:05+00:00,"#Relationshiptips 
#relationshipgoals #relationshipquotes #relationship #Respectwomen  #womenempowerment #independentwoman #Mother #Motherinlaw #Daughter #Daughterinlaw #Love #Family #Motherinlaw https://t.co/r2BbOnfCEK",NariKesari
4,2022-07-29 11:17:58+00:00,#respectwomen #laceyshouse #genderequality https://t.co/HY1uOxQw6y,LaceyHouseGha
5,2022-07-29 10:58:13+00:00,Wait wait let’s talk #Rape in #Ghana a country that has to post FUCKING SIGNS IN UPPER WEST to tell you to STOP marrying children? #FUCKOUTTAHERE #respectwomen #laceyshouse FUCK YOU 🖕🏽🖕🏽🖕🏽🖕🏿 https://t.co/DEuZ8WZ33S,LaceyHouseGha
6,2022-07-28 20:21:36+00:00,"‼️Un #respeto por el duro trabajo!! 
#Respect #RespectWomen 🙏❤️#life 
Via:https://t.co/RoBVPd9Hpt https://t.co/pc13GZPl6w",JavierApophis
7,2022-07-28 19:52:49+00:00,"@adhirrcinc 
अधीर जी भले ही लोग आपके खिलाफ हो ,
पर हम आपके साथ खड़े रहेंगे बस एक बार के लिए ....

पार्टी प्रेसिडेंट को संघ पत्नी कह दीजिए ।

क्योंकि आप जिस पार्टी में है , वहा भी एक महिला ही पार्टी प्रेसिडेंट है ।

#AdhirRanjanChowdhury 
#RespectWomen 
#PresidentMurmu",_itsNitesh
8,2022-07-28 19:47:01+00:00,@ZombieEater2011 @MNCVKG @ziggyhaim What a douche bag response dude. #RespectWomen,Chefdad2000
9,2022-07-28 18:43:55+00:00,"#the #girls #kingdom 
#goodvibes#happiness
#freedom #respectgirls
#dream #believe #believeyourself #achieve #strongwomen #strong 
#respect #respectwomen #hustle 
#believeme #thinkpositive
#thinkgood #goodquote https://t.co/3lGqGDNGvh",VivekDikhit
10,2022-07-28 18:01:49+00:00,Politicians and comman man they have to respect our honorable President. I request suprime court punish this leader. #PresidentofIndia #RespectWomen #suprim_court_of_india,guptaa_ranjeet
11,2022-07-28 17:58:48+00:00,Congress  should apologise to the entire country for insulting  President Murmu calling her Rastrapatni.Congress leaders  have also called her puppet and a evil symbol.  Congress  is not able to see the rise of women in constitutional post.#StopMockingMurmu #RespectWomen https://t.co/hyAUaLS8jY,MAYAPRADEEP2
12,2022-07-28 17:32:39+00:00,I just published Bravery On The Women’s Rights Front https://t.co/wk3Qs2RgUn #Abortion #choice #WomensRights #freedom #Respectwomen #trustwomen @PPFA,lizadonnelly
13,2022-07-28 17:22:38+00:00,"#abortion #womensrights #choice #freedom #liberty #respectwomen #healthcare @ Milan, New York https://t.co/CHRl3mc9nS",lizadonnelly
14,2022-07-28 17:11:05+00:00,"@adhirrcinc  इस हीसाब से आपकी बिवी जगत पत्नी समजे क्या बेटा 
#AdhirRanjanChowdhury की बीवी जगत पत्नी है.
Let's trend this 
#respectWomen
#respectPresident 
छैया छैय्या करके तुम्हारी मैय्या ठोकेंगे
@PMOIndia @AmitShah @HMOIndia 
@narendramodi @draupadimurmum",AmeyDeshpande19
15,2022-07-28 15:51:42+00:00,#respectwomen,KhushiM47737922
16,2022-07-28 15:47:48+00:00,@_Kenyanjack @valiant_kut #respectwomen,YesuMkenya
17,2022-07-28 15:00:01+00:00,"#Relationshiptips 
#relationshipgoals #relationshipquotes #relationship #Respectwomen  #womenempowerment #independentwoman  #Daughter #maa  #Mother #Father #Son #Brother #Sisiter #Love #Family https://t.co/s6rrTmsEQY",NariKesari
18,2022-07-28 02:51:17+00:00,"Respect them...
#Respectfully
#respectwomen

https://t.co/W4gLZvdLYU",AkhmadFaisal80
19,2022-07-27 23:32:47+00:00,specifically fictional misogyny guys. #/respectwomen,scumcumming
20,2022-07-27 23:05:17+00:00,Back to the heat. I ran pretty well considering the heat seemed unbearable!!! But you need to stick with it!!! #DayByDay #FindAWay #NowWhatSoWhat #GBR #Huskers #RTB #QBS #PROTECTOURCHILDREN #ABOLISHASSAULTRIFLES #RESPECTWOMEN https://t.co/NZ9PEN9vF1,cernball
21,2022-07-27 16:55:16+00:00,#RespectWomen https://t.co/evs2w2H6nn,GladysD57641000
22,2022-07-27 15:40:47+00:00,"# Registertovote
#RespectWomen
#Shameonabuseofwomen",mun_chits
23,2022-07-27 15:00:01+00:00,"#Relationshiptips 
#relationshipgoals #relationshipquotes #relationship #Respectwomen  #womenempowerment #independentwoman  #Husband #Wife #Couplegoal  #Husbandwife #Love #Family https://t.co/oxLOGuDg2M",NariKesari
24,2022-07-27 09:21:29+00:00,@abdulnaveed75 @hinaparvezbutt Please remove this video. It's not good to humiliate someone else respect. #RespectWomen,Salis_khizar_k
25,2022-07-27 07:55:22+00:00,"@hinaparvezbutt @PTIforlife This kind of acts must be stopped. 
#RespectWomen",AwaisTanoli856
26,2022-07-27 07:48:59+00:00,"I so want to believe it's a joke. Mind, even then it wouldn't be funny. #mencantgivebirth #sexnotgender #respectwomen https://t.co/8bQbZP3xcl",getcarter4
27,2022-07-27 06:01:35+00:00,No where in the #World a #woman is called a https://t.co/n8HmhS0aRU the #Indian #society she is  #RespectWomen #honor #loveorhost . #nudity2022 should be only in #films and #magazine and that too if the #script demands it with an #AdultingAndStuff #Tag 😊🙏 https://t.co/aRxMNkcjYC,Anirudd695
28,2022-07-27 04:12:52+00:00,@msatym @JessicaNigri @TazB_Leoncillo @FlexyTiffy @AnisaJomha @notbijoudemi @JOJOsaysbreee @BabyHsu888 @SonjaShio @OMGitsfirefoxx @Ev1lHiccup @FemSteph @Akemi101xoxo @iamemxi @swoleotaku1 @Susu_jpg @tashalej  #Respectwomen #WomensRightsAreHumanRights #BLM,ShaunBanks1979
29,2022-07-27 02:25:31+00:00,Excuse me @Twitter where is the game update for the #CommissionersCup game?? I have to search the friggin # just to get live updates???? Come ON! #respectWomen #WNBATwitter,SheyGreen_
30,2022-07-27 00:28:59+00:00,"This is sick! 
This has to change ASAP ! 
#RespectWOMEN 
#ItsTheirBODY 
I hate America sometimes… https://t.co/BgR55OHqpH",KanJayW3st
31,2022-07-26 23:04:25+00:00,Ran the beautiful trails through Beatrice today. Spent a little time on the Homestead and Chief Standing Bear Trails!! #DayByDay #FindAWay #NowWhatSoWhat #GBR #Huskers #RTB #QBS #PROTECTOURCHILDREN #ABOLISHASSAULTRIFLES #RESPECTWOMEN https://t.co/JQcJjyaHVp,cernball
32,2022-07-26 21:53:23+00:00,"#Truth is: living and breathing takes priority/precedence over NOT every time. 
#RespectWomen 
We did NOT come from one man and one woman as taught; we were created though. #TheOnePercenters created this division purposefully for profit.
#WomensRightsAreHumanRights
#Men4Choice",rscotttipton1A
33,2022-07-26 21:11:05+00:00,"Nós do @thelapone gostaríamos de agradecer o convite feito pelo @7prm7 para participar do ""Grelha de Partida"" do @SPORTTVPortugal  e poder falar sobre o projeto do blog e da campanha #RespectWomen 💜",thelapone
34,2022-07-26 20:25:18+00:00,Vamos participar ! A @SPORTTVPortugal convidou o nosso blog para falar da campanha #RespectWomen a @BiaRosenburg está representando o blog 🥰 https://t.co/FpPzoYmkvp,thelapone
35,2022-07-26 15:00:00+00:00,"#Relationshiptips 
#relationshipgoals #relationshipquotes #relationship #Respectwomen  #womenempowerment #independentwoman  #Daughter #maa  #Mother #Father #Son #Brother #Sisiter #Love #Family https://t.co/3dNm6W3SlF",NariKesari
36,2022-07-26 14:27:18+00:00,"#FactCheck 
#RespectWomen https://t.co/YWfdzY1LDp",Ziiq_901
37,2022-07-26 09:46:52+00:00,"“Let Me Introduce Lacey’s House” by TB Obwoge
https://t.co/km3xASNdo3 #LaceysHouse #nonprofit #Help #funding #respectwomen #Africa #Pennsylvania https://t.co/e23M4gNDye",LaceyHouseGha
38,2022-07-26 08:52:18+00:00,#Tanzania #WomensHealth #RespectWomen #LaceysHouse https://t.co/mSEJo5OoHG,LaceyHouseGha
39,2022-07-26 06:05:59+00:00,"मेरी नजर में नारी सबसे श्रेष्ठ है जो कभी बेटी के रूप में,कभी बहन के रूप में,कभी मां के रूप में और कभी पत्नी के रूप में अपनी जिम्मेदारियों को बेखूबी से निभाती है इसलिए नारी का सम्मान हमेशा सबसे पहले होना चाहिए
#Respectwomen 
#JaiBhim ✊
@loveravidassiya @Kajal__ambedkar",azad_mp
40,2022-07-26 02:17:11+00:00,"#periods, #pregnancy, #Virginity

If one of these 3 was among men.
Then before touching a women, the soul of male race would shake.

#respectwomen https://t.co/beoa30awwH",Devenrajput4
41,2022-07-25 22:53:06+00:00,What a nice cool day. Spitting drizzle for most of the run felt great!! Love relaxing on a decent run!!! #DayByDay #FindAWay #NowWhatSoWhat #GBR #Huskers #RTB #QBS #PROTECTOURCHILDREN #ABOLISHASSAULTRIFLES #RESPECTWOMEN https://t.co/BWMgOLGliM,cernball
42,2022-07-25 20:45:35+00:00,"My point exactly, rude, condescending, arrogant, thinks he can keep interrupting Liz and stand proud. #respectwomen https://t.co/ZsMGjMJXNb",kalungigroup
43,2022-07-25 20:36:53+00:00,"van #rushisunak be more respectful of #LizTruss, let the woman speak. You get to have your say, let her have her say on national TV. #respectwomen",wodinliverpool
44,2022-07-25 15:42:09+00:00,"पत्नी की इज़्ज़त करने वाले पति गुलाम नही होते,
वो एक ऐसी माँ के बेटे होते है,
जिसने उन्हे औरत की इज़्ज़त करना सिखाया हो।
#Love &amp; #RespectWomen",VinayKu49718745
45,2022-07-25 15:00:03+00:00,"#Relationshiptips 
#relationshipgoals #relationshipquotes #relationship #Respectwomen  #womenempowerment #independentwoman  #Husband #Wife #Couplegoal  #Husbandwife #Love #Family https://t.co/ANidpe1TrP",NariKesari
46,2022-07-25 14:06:03+00:00,"R-E-S-P-E-C-T. Find out what it means to me.

https://t.co/GHE5JNL2oh

#respect #RespectWomen #selflove #selfesteem #empoweringwomen #Pink #WomenSupportingWomen https://t.co/BwEk0mOthm",LawrensonUK
47,2022-07-25 13:45:48+00:00,So much dangerous fear mongering going on. Women will not be denied lifesaving medical care. The abortion industry wants women to live in fear! Unacceptable! #respectwomen #stopproabortionlies https://t.co/8aH0RCacz2,O_G_Turner
48,2022-07-25 12:21:21+00:00,"@mattgaetz just another #silverSpoonFed #Narcissist #bully attacking girls and women to make yourself feel BIG,but you will always be a small fish in an ocean of Real men who #RespectWomen and don’t have to pay or traffic to get a date. #LockHimUpNow",fritzzy66
49,2022-07-25 11:59:28+00:00,"@nieuwsbladsport Een volledige naam van de renster is te veel gevraagd ofzo? Haar naam is Urška Žigart. 
Do better @nieuwsbladsport 
#respectwomen",sportsfulness
50,2022-07-25 08:48:42+00:00,"More women enter automobile shop floors 

Tata Motors, Hero MotoCorp, MG, Bajaj Auto Ltd speed up gender diversity push

#diversity #inclusiveness #inclusion #growth #respectwomen
#womenempowerment #inspire #inspiration #inspiring #gender
#genderequality …https://t.co/NIwX4trhBb",rameshkotnana1
51,2022-07-25 04:41:18+00:00,"ALL real/cis women should pull their applicatx &amp; /or transfer out of #UPenn, IMMEDIATELY!! This school does not respect U &amp; they deserve NONE of your hard earned $ or your presence. 
Let's give them what they're asking for - an all men's/trans school!
#RespectWomen or #LoseWomen",CharliWeb3
52,2022-07-24 18:43:15+00:00,"If you are a man enough stop tagging your dozen friends to attack a single woman by taunting and speaking in riddles. 
Do not challenge a woman. #RespectWomen",SnehalPrabhu5
53,2022-07-24 17:48:30+00:00,Do not insult any woman from this very moment #RespectWomen https://t.co/XVPjduBife,SnehalPrabhu5
54,2022-07-24 17:08:47+00:00,"Thank you.
 Jinko tweet tha unko message mila. Khush raho and do not demean a woman on a social platform by tagging all your friends. Nothing can be more humiliating to any woman.
Have a happy weekend. 😊 God bless you. 
#RespectWomen https://t.co/iEa2T4p0C8",SnehalPrabhu5
55,2022-07-24 16:59:52+00:00,"women are just amazing! can do anything men can, and birth babies to boot! 

patriarchy is the BIG LIE. cruel, dumbest ever. #respectwomen 🌷",Raffi_RC
56,2022-07-24 16:48:59+00:00,"@rigathi Practice what you’re parroting. You and @WilliamsRuto misuse religion like political brand.
#respectwomen
https://t.co/qhosSEgPTr",MunyiriWaithira
57,2022-07-24 15:00:02+00:00,"#Relationshiptips 
#relationshipgoals #relationshipquotes #relationship #Respectwomen  #womenempowerment #independentwoman  #Daughter #maa  #Mother #Father #Son #Brother #Sisiter #Love #Family https://t.co/GAze0zeQ7W",NariKesari
58,2022-07-24 14:37:00+00:00,Nice cool morning run!! About 75 for this 10% run!! Nice northern breeze!! #DayByDay #FindAWay #NowWhatSoWhat #GBR #Huskers #RTB #QBS #PROTECTOURCHILDREN #ABOLISHASSAULTRIFLES #RESPECTWOMEN https://t.co/qqNM5d0P9g,cernball
59,2022-07-24 14:31:18+00:00,"All women are working women only few are salaried … This are not just few words but such a strong phrase 
#salaried #women #respect #workingwomen #respectwomen #Viral #RETWEEET",subiraro
60,2022-07-24 05:36:40+00:00,"@chudry_huraira @Mohamma58936786 @WTH_shafiq Thank u Mam, 
میرے حساب سے عورت بہت احترام کے قابل ہے، عورت کو کبھی بھی خود کو لائک اور کمنٹس سے نہیں دیکھنا چاہئیے، وہ ملکہ ہے اور ملکہ ہی رہے گی...
عورت تاج ہے اس مرد کے لئے جو خود بادشاہ ہو...
#Respectwomen...
اور آپ کا بہت بہت شکریہ...♥",sBw143
61,2022-07-24 04:04:14+00:00,Proabortiin groups are upset because women change their minds about getting an abortion when all the options are presented. I thought we encouraged women to have the right to make up their own minds? #pregcentersofferhope. #respectwomen https://t.co/230UFW2TTA,O_G_Turner
62,2022-07-24 02:49:01+00:00,@TalbertSwan These new women run on attention.  #RespectWomen,BushidoBeats
63,2022-07-23 23:07:23+00:00,"Since 2005,  i spent 29k at @cvspharmacy-it up adds for longtime caregivers &amp; women w/ health issues. What disturbs me is giving to a pharmacy that is putting female patients w/leukemia, cancer, psoriasis or RA on some sort of trial of conscience/ morality/ intent. #RespectWomen https://t.co/7GDy83q9EZ",MarinaGipps
64,2022-07-23 16:45:27+00:00,"सांस है जब तलक, न रुकेंगे कदम।।
आप रहे जागरूक।।।।जय हिंद #MissionShakti #respectwomen https://t.co/tbaAVtJpFk",Prachiupcop
65,2022-07-23 16:39:39+00:00,Aap rhe surkshit...#UPPolice #khiripolice #MissionShakti  #respectwomen #policemitr https://t.co/oN7MHUPt7E,Prachiupcop
66,2022-07-23 15:00:01+00:00,"#Relationshiptips 
#relationshipgoals #relationshipquotes #relationship #Respectwomen  #womenempowerment #independentwoman  #Daughter #maa  #Mother #Father #Son #Brother #Sister #Love #Family https://t.co/fcZlLyDJGA",NariKesari
67,2022-07-23 14:59:27+00:00,I’ve never watched that sick stuff a day in my life #respectwomen🙏🏽 https://t.co/q6IiQF7gmI,jumexskizilla
68,2022-07-23 13:35:56+00:00,"मेरे साथ तुम रहोगी तो सारे बालाएं टल जायेंगी
तुझे छुना तो चाहता हूं !
लेकिन डर है की अंगुलीया जल जायेंगी!
#respectwomen 
@officialpratiks",RajeshK66912137
69,2022-07-23 12:28:12+00:00,"@Ramraajya Thankyou!!  Very few  know how to respect the daughters of others.  Many people cross lines with their 
needless, pitiful remarks.
#RespectWomen https://t.co/UHTpR8SGZp",_Deep_KSandhu
70,2022-07-23 11:25:54+00:00,"Aproveitando o TL2, vocês já conferiram nossa campanha? #RespectWomen #FrenchGP https://t.co/9iL4lgXzNZ",thelapone
71,2022-07-23 06:18:32+00:00,@thealfredhospital needs to act on it's #misogynist #mentalhealth clinicians and make your #hospital safe. @mhcc_vic stop enabling this abuse. @danielandrewsmp @jacintaallanmp @gabbywilliamsmp  @ninataylormp @TamePunk #respectwomen #DomesticViolence #trauma #Neurodivergent https://t.co/CdttA6LUvJ,lizzyzpage0
72,2022-07-23 06:06:08+00:00,Vince McMahon resigning for harassment was a given since he was one of 50 people that Trump followed on Twitter. #DirtbagsAttract #SaturdayVibes #GrabthembytheP #Jail #women #RespectWomen https://t.co/meO6RpRz99,mdkulin
73,2022-07-23 01:51:42+00:00,"Fellas, do what u do but PLEASE, do not be sitting w/ your girl &amp; a baby (granted, that may or not be yours.)  on the subway scoping period- but definitely not a bro minding his biz.  #disrespectful #respectwomen",ZAGREUSbonez
